"","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf"
"1","FRCH",2020,"storm1","NO3",0.137465497099993,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium"
"2","FRCH",2020,"storm10a","NO3",0.435857494440084,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium"
"3","FRCH",2020,"storm10b","NO3",-0.391973002389792,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium"
"4","FRCH",2020,"storm11","NO3",0.619742086752632,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium"
"5","FRCH",2020,"storm12","NO3",0.540373553437709,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium"
"6","FRCH",2020,"storm2","NO3",0.73606424285211,0,NA,NA,NA,NA,NA,NA,"unburned","medium"
"7","FRCH",2020,"storm3a","NO3",0.14499281011393,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium"
"8","FRCH",2020,"storm3b","NO3",-0.391012605551991,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium"
"9","FRCH",2020,"storm3c","NO3",-0.172299012693922,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium"
"10","FRCH",2020,"storm4a","NO3",0.26079910108258,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium"
"11","FRCH",2020,"storm4b","NO3",-0.436480374737518,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium"
"12","FRCH",2020,"storm5","NO3",0.0103227153099191,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium"
"13","FRCH",2020,"storm6","NO3",0.471764319454421,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium"
"14","FRCH",2020,"storm7","NO3",0.603665785409942,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium"
"15","FRCH",2020,"storm8","NO3",-0.0516386636034036,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium"
"16","FRCH",2020,"storm9a","NO3",0.783265819615709,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium"
"17","FRCH",2020,"storm9b","NO3",-0.034796854521626,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium"
"18","FRCH",2020,"storm1","fDOM",-0.33125980563184,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium"
"19","FRCH",2020,"storm10a","fDOM",-0.17508226102941,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium"
"20","FRCH",2020,"storm10b","fDOM",-0.0212670106417209,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium"
"21","FRCH",2020,"storm11","fDOM",-0.133512921594389,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium"
"22","FRCH",2020,"storm12","fDOM",0.610184931506841,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium"
"23","FRCH",2020,"storm2","fDOM",-0.346955161626694,0,NA,NA,NA,NA,NA,NA,"unburned","medium"
"24","FRCH",2020,"storm3a","fDOM",-0.0623416241496587,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium"
"25","FRCH",2020,"storm3b","fDOM",-0.120748770855162,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium"
"26","FRCH",2020,"storm3c","fDOM",0.296820774705276,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium"
"27","FRCH",2020,"storm4a","fDOM",-0.1564257867045,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium"
"28","FRCH",2020,"storm4b","fDOM",-0.280767427525231,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium"
"29","FRCH",2020,"storm5","fDOM",-0.144614285714289,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium"
"30","FRCH",2020,"storm6","fDOM",-0.247306172839508,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium"
"31","FRCH",2020,"storm7","fDOM",-0.114262906799993,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium"
"32","FRCH",2020,"storm8","fDOM",-0.166280074917156,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium"
"33","FRCH",2020,"storm9a","fDOM",-0.186014583486781,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium"
"34","FRCH",2020,"storm9b","fDOM",-0.247463589881742,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium"
"35","FRCH",2020,"storm1","SPC",-0.143970755183129,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium"
"36","FRCH",2020,"storm10a","SPC",0.756356466876972,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium"
"37","FRCH",2020,"storm10b","SPC",-0.377822685788787,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium"
"38","FRCH",2020,"storm11","SPC",0.513636363636349,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium"
"39","FRCH",2020,"storm12","SPC",-0.266329113924027,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium"
"40","FRCH",2020,"storm2","SPC",-0.00401913875599283,0,NA,NA,NA,NA,NA,NA,"unburned","medium"
"41","FRCH",2020,"storm3a","SPC",0.884176947479732,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium"
"42","FRCH",2020,"storm3b","SPC",0.0444469525959368,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium"
"43","FRCH",2020,"storm3c","SPC",-0.554573643410849,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium"
"44","FRCH",2020,"storm4a","SPC",0.550873983739842,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium"
"45","FRCH",2020,"storm4b","SPC",-0.384988600740952,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium"
"46","FRCH",2020,"storm5","SPC",-0.663225806451583,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium"
"47","FRCH",2020,"storm6","SPC",0.1718954248366,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium"
"48","FRCH",2020,"storm7","SPC",0.0858305900227903,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium"
"49","FRCH",2020,"storm8","SPC",0.303086419753082,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium"
"50","FRCH",2020,"storm9a","SPC",0.11052941176471,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium"
"51","FRCH",2020,"storm9b","SPC",-0.167836393050574,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium"
"52","FRCH",2020,"storm1","turb",-0.227813670651608,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium"
"53","FRCH",2020,"storm10a","turb",-0.246269170676002,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium"
"54","FRCH",2020,"storm10b","turb",0.103321409214091,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium"
"55","FRCH",2020,"storm11","turb",-0.0104680929352392,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium"
"56","FRCH",2020,"storm12","turb",-0.0768080306789947,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium"
"57","FRCH",2020,"storm2","turb",-0.147956792180383,0,NA,NA,NA,NA,NA,NA,"unburned","medium"
"58","FRCH",2020,"storm3a","turb",-0.439510839329427,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium"
"59","FRCH",2020,"storm3b","turb",0.385528257254608,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium"
"60","FRCH",2020,"storm3c","turb",-0.387384522817737,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium"
"61","FRCH",2020,"storm4a","turb",-0.249905684081345,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium"
"62","FRCH",2020,"storm4b","turb",-0.0855090214998943,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium"
"63","FRCH",2020,"storm5","turb",-0.087760242474918,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium"
"64","FRCH",2020,"storm6","turb",-0.0930353535353549,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium"
"65","FRCH",2020,"storm7","turb",-0.123234286176051,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium"
"66","FRCH",2020,"storm8","turb",0.0221496345394284,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium"
"67","FRCH",2020,"storm9a","turb",-0.341801696402457,14.8,9,145.6,266,34.5,0.428985507246377,213.15625,"unburned","medium"
"68","FRCH",2020,"storm9b","turb",-0.0896849513031056,13,20.6,160.4,280.8,67.5,0.192592592592593,214.78125,"unburned","medium"
